"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"RF","mtry=126",1,0.518703241895262,0.846153846153846,0.469914040114613,0.313167259786477,0.65803394313423
"RF","mtry=126",2,0.551122194513716,0.807692307692308,0.512893982808023,0.318181818181818,0.660293145250165
"RF","mtry=126",3,0.513715710723192,0.923076923076923,0.452722063037249,0.329896907216495,0.687899493057086
"RF","mtry=126",4,0.541147132169576,0.769230769230769,0.507163323782235,0.303030303030303,0.638197046506502
"RF","mtry=126",5,0.508728179551122,0.884615384615385,0.452722063037249,0.318339100346021,0.668668723826317
"RF","mtry=126",6,0.523690773067332,0.884615384615385,0.469914040114613,0.325088339222615,0.677264712364999
"RF","mtry=126",7,0.55860349127182,0.923076923076923,0.504297994269341,0.351648351648352,0.713687458673132
"RF","mtry=126",8,0.57356608478803,0.807692307692308,0.538681948424069,0.329411764705882,0.673187128058188
"RF","mtry=126",9,0.561097256857855,0.865384615384615,0.515759312320917,0.338345864661654,0.690571963852766
"RF","mtry=126",10,0.581047381546135,0.923076923076923,0.530085959885387,0.363636363636364,0.726581441481155
