"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"GLM","lambda=1",1,0.620947630922693,0.807692307692308,0.593123209169054,0.355932203389831,0.700407758430681
"GLM","lambda=1",2,0.683291770573566,0.75,0.673352435530086,0.380487804878049,0.711676217765043
"GLM","lambda=1",3,0.655860349127182,0.826923076923077,0.630372492836676,0.383928571428571,0.728647784879877
"GLM","lambda=1",4,0.633416458852868,0.730769230769231,0.6189111747851,0.340807174887892,0.674840202777165
"GLM","lambda=1",5,0.635910224438903,0.75,0.6189111747851,0.348214285714286,0.68445558739255
"GLM","lambda=1",6,0.556109725685786,0.903846153846154,0.504297994269341,0.345588235294118,0.704072074057747
"GLM","lambda=1",7,0.553615960099751,0.942307692307692,0.495702005730659,0.353790613718412,0.719004849019176
"GLM","lambda=1",8,0.566084788029925,0.826923076923077,0.527220630372493,0.330769230769231,0.677071853647785
"GLM","lambda=1",9,0.548628428927681,0.826923076923077,0.507163323782235,0.322097378277154,0.667043200352656
"GLM","lambda=1",10,0.638403990024938,0.980769230769231,0.587392550143267,0.412955465587045,0.784080890456249
