"","RF_mtry_2","RF_mtry_126","RF_mtry_250","XGB_nrounds_250","XGB_nrounds_300","XGB_nrounds_350","GLM_lambda_0.1","GLM_lambda_0.5","GLM_lambda_1"
"Acuracia",0.488029925187032,0.543142144638404,0.537406483790524,0.523690773067332,0.526932668329177,0.52568578553616,0.598753117206983,0.592019950124688,0.609226932668329
"Recall",0.888461538461538,0.863461538461539,0.846153846153846,0.863461538461539,0.857692307692308,0.861538461538462,0.811538461538462,0.836538461538462,0.834615384615385
"Especificidade",0.42836676217765,0.49541547277937,0.491404011461318,0.473065902578797,0.477650429799427,0.475644699140401,0.567048710601719,0.555587392550143,0.575644699140401
"F1",0.310451914352418,0.329074607243598,0.322370106645759,0.320176506190445,0.320194433591729,0.320547609509176,0.345722259254616,0.348049562753471,0.357457096394459
"AUC",0.658414150319594,0.679438505620454,0.668778928807582,0.668263720520168,0.667671368745867,0.668591580339431,0.68929358607009,0.696062927044302,0.705130041877893
