"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"GLM","lambda=0.5",1,0.630922693266833,0.807692307692308,0.60458452722063,0.362068965517241,0.706138417456469
"GLM","lambda=0.5",2,0.643391521197007,0.769230769230769,0.624641833810888,0.358744394618834,0.696936301520829
"GLM","lambda=0.5",3,0.623441396508728,0.826923076923077,0.593123209169054,0.362869198312236,0.710023143046066
"GLM","lambda=0.5",4,0.628428927680798,0.711538461538462,0.616045845272206,0.331838565022422,0.663792153405334
"GLM","lambda=0.5",5,0.600997506234414,0.807692307692308,0.570200573065903,0.344262295081967,0.688946440379105
"GLM","lambda=0.5",6,0.538653366583541,0.903846153846154,0.484240687679083,0.336917562724014,0.694043420762618
"GLM","lambda=0.5",7,0.521197007481297,0.942307692307692,0.458452722063037,0.337931034482759,0.700380207185365
"GLM","lambda=0.5",8,0.551122194513716,0.788461538461538,0.515759312320917,0.312977099236641,0.652110425391228
"GLM","lambda=0.5",9,0.543640897755611,0.846153846153846,0.498567335243553,0.324723247232472,0.6723605906987
"GLM","lambda=0.5",10,0.638403990024938,0.961538461538462,0.590257879656161,0.408163265306122,0.775898170597311
