"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"RF","mtry=250",1,0.511221945137157,0.865384615384615,0.458452722063037,0.314685314685315,0.661918668723826
"RF","mtry=250",2,0.548628428927681,0.769230769230769,0.515759312320917,0.306513409961686,0.642495040775843
"RF","mtry=250",3,0.498753117206983,0.865384615384615,0.444126074498567,0.309278350515464,0.654755344941591
"RF","mtry=250",4,0.538653366583541,0.769230769230769,0.504297994269341,0.30188679245283,0.636764381750055
"RF","mtry=250",5,0.466334164588529,0.884615384615385,0.404011461318052,0.300653594771242,0.644313422966718
"RF","mtry=250",6,0.531172069825436,0.865384615384615,0.481375358166189,0.323741007194245,0.673379986775402
"RF","mtry=250",7,0.561097256857855,0.865384615384615,0.515759312320917,0.338345864661654,0.690571963852766
"RF","mtry=250",8,0.581047381546135,0.846153846153846,0.541547277936963,0.34375,0.693850562045405
"RF","mtry=250",9,0.551122194513716,0.826923076923077,0.510028653295129,0.323308270676692,0.668475865109103
"RF","mtry=250",10,0.586034912718205,0.903846153846154,0.538681948424069,0.361538461538462,0.721264051135111
