"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"GLM","lambda=0.1",1,0.648379052369077,0.769230769230769,0.630372492836676,0.361990950226244,0.699801631033723
"GLM","lambda=0.1",2,0.643391521197007,0.807692307692308,0.6189111747851,0.370044052863436,0.713301741238704
"GLM","lambda=0.1",3,0.615960099750623,0.769230769230769,0.593123209169054,0.341880341880342,0.681176989199912
"GLM","lambda=0.1",4,0.645885286783042,0.730769230769231,0.63323782234957,0.348623853211009,0.6820035265594
"GLM","lambda=0.1",5,0.588528678304239,0.788461538461538,0.558739255014327,0.331983805668016,0.673600396737932
"GLM","lambda=0.1",6,0.548628428927681,0.846153846153846,0.504297994269341,0.327137546468401,0.675225920211594
"GLM","lambda=0.1",7,0.496259351620948,0.903846153846154,0.435530085959885,0.317567567567568,0.66968811990302
"GLM","lambda=0.1",8,0.546134663341646,0.788461538461538,0.510028653295129,0.310606060606061,0.649245095878334
"GLM","lambda=0.1",9,0.603491271820449,0.807692307692308,0.573065902578797,0.345679012345679,0.690379105135552
"GLM","lambda=0.1",10,0.650872817955112,0.903846153846154,0.613180515759312,0.401709401709402,0.758513334802733
