"","RF_mtry_2","RF_mtry_126","RF_mtry_250","XGB_nrounds_250","XGB_nrounds_300","XGB_nrounds_350","GLM_lambda_0.1","GLM_lambda_0.5","GLM_lambda_1"
"Acuracia",0.551122194513716,0.490773067331671,0.507730673316708,0.517955112219451,0.515960099750623,0.517456359102244,0.640648379052369,0.701995012468828,0.770573566084788
"Recall",0.753846153846154,0.898076923076923,0.901923076923077,0.863461538461539,0.869230769230769,0.855769230769231,0.773076923076923,0.715384615384615,0.640384615384615
"Especificidade",0.520916905444126,0.430085959885387,0.448997134670487,0.46647564469914,0.463323782234957,0.467048710601719,0.620916905444126,0.7,0.789971346704871
"F1",0.303332417086244,0.314138902043711,0.322834730394836,0.317616550871798,0.318407383403621,0.315522419747699,0.36066773403464,0.386313117640319,0.421083308811554
"AUC",0.63738152964514,0.664081441481155,0.675460105796782,0.664968591580339,0.666277275732863,0.661408970685475,0.696996914260525,0.707692307692308,0.715177981044743
