"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"XGB","nrounds=300",1,0.518703241895262,0.865384615384615,0.467048710601719,0.318021201413428,0.666216662993167
"XGB","nrounds=300",2,0.528678304239402,0.865384615384615,0.478510028653295,0.32258064516129,0.671947322018955
"XGB","nrounds=300",3,0.498753117206983,0.884615384615385,0.441260744985673,0.313993174061433,0.662938064800529
"XGB","nrounds=300",4,0.553615960099751,0.846153846153846,0.510028653295129,0.329588014981273,0.678091249724488
"XGB","nrounds=300",5,0.538653366583541,0.807692307692308,0.498567335243553,0.312267657992565,0.65312982146793
"XGB","nrounds=300",6,0.511221945137157,0.865384615384615,0.458452722063037,0.314685314685315,0.661918668723826
"XGB","nrounds=300",7,0.438902743142145,0.942307692307692,0.363896848137536,0.303405572755418,0.653102270222614
"XGB","nrounds=300",8,0.468827930174564,0.807692307692308,0.418338108882521,0.282828282828283,0.613015208287415
"XGB","nrounds=300",9,0.531172069825436,0.865384615384615,0.481375358166189,0.323741007194245,0.673379986775402
"XGB","nrounds=300",10,0.571072319201995,0.942307692307692,0.515759312320917,0.362962962962963,0.729033502314305
