"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"XGB","nrounds=350",1,0.531172069825436,0.865384615384615,0.481375358166189,0.323741007194245,0.673379986775402
"XGB","nrounds=350",2,0.526184538653367,0.846153846153846,0.478510028653295,0.316546762589928,0.662331937403571
"XGB","nrounds=350",3,0.501246882793017,0.884615384615385,0.444126074498567,0.315068493150685,0.664370729556976
"XGB","nrounds=350",4,0.548628428927681,0.826923076923077,0.507163323782235,0.322097378277154,0.667043200352656
"XGB","nrounds=350",5,0.531172069825436,0.788461538461538,0.492836676217765,0.303703703703704,0.640649107339652
"XGB","nrounds=350",6,0.521197007481297,0.826923076923077,0.475644699140401,0.309352517985611,0.651283888031739
"XGB","nrounds=350",7,0.443890274314214,0.923076923076923,0.372492836676218,0.300940438871473,0.64778487987657
"XGB","nrounds=350",8,0.473815461346633,0.807692307692308,0.424068767908309,0.284745762711864,0.615880537800308
"XGB","nrounds=350",9,0.536159600997506,0.865384615384615,0.487106017191977,0.326086956521739,0.676245316288296
"XGB","nrounds=350",10,0.561097256857855,0.923076923076923,0.507163323782235,0.352941176470588,0.715120123429579
