"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"GLM","lambda=0.1",1,0.71072319201995,0.711538461538462,0.710601719197708,0.389473684210526,0.711070090368085
"GLM","lambda=0.1",2,0.675810473815461,0.75,0.664756446991404,0.375,0.707378223495702
"GLM","lambda=0.1",3,0.640897755610973,0.711538461538462,0.630372492836676,0.339449541284404,0.670955477187569
"GLM","lambda=0.1",4,0.71072319201995,0.692307692307692,0.713467048710602,0.382978723404255,0.702887370509147
"GLM","lambda=0.1",5,0.605985037406484,0.730769230769231,0.587392550143267,0.324786324786325,0.659080890456249
"GLM","lambda=0.1",6,0.576059850374065,0.865384615384615,0.532951289398281,0.346153846153846,0.699167952391448
"GLM","lambda=0.1",7,0.551122194513716,0.884615384615385,0.501432664756447,0.338235294117647,0.693024024685916
"GLM","lambda=0.1",8,0.58354114713217,0.769230769230769,0.555873925501433,0.323886639676113,0.662552347366101
"GLM","lambda=0.1",9,0.650872817955112,0.769230769230769,0.63323782234957,0.363636363636364,0.70123429579017
"GLM","lambda=0.1",10,0.70074812967581,0.846153846153846,0.679083094555874,0.423076923076923,0.76261847035486
