"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"RF","mtry=250",1,0.543640897755611,0.865384615384615,0.495702005730659,0.32967032967033,0.680543310557637
"RF","mtry=250",2,0.521197007481297,0.846153846153846,0.472779369627507,0.314285714285714,0.659466607890677
"RF","mtry=250",3,0.451371571072319,0.923076923076923,0.3810888252149,0.30379746835443,0.652082874145911
"RF","mtry=250",4,0.551122194513716,0.865384615384615,0.504297994269341,0.333333333333333,0.684841304826978
"RF","mtry=250",5,0.456359102244389,0.961538461538462,0.3810888252149,0.314465408805031,0.671313643376681
"RF","mtry=250",6,0.478802992518703,0.961538461538462,0.406876790830946,0.323624595469256,0.684207626184704
"RF","mtry=250",7,0.443890274314214,0.942307692307692,0.369627507163324,0.305295950155763,0.655967599735508
"RF","mtry=250",8,0.511221945137157,0.865384615384615,0.458452722063037,0.314685314685315,0.661918668723826
"RF","mtry=250",9,0.56857855361596,0.826923076923077,0.530085959885387,0.332046332046332,0.678504518404232
"RF","mtry=250",10,0.551122194513716,0.961538461538462,0.489971346704871,0.357142857142857,0.725754904121666
