"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"RF","mtry=250",1,0.261845386533666,0.980769230769231,0.154727793696275,0.256281407035176,0.567748512232753
"RF","mtry=250",2,0.369077306733167,0.923076923076923,0.286532951289398,0.275071633237822,0.604804937183161
"RF","mtry=250",3,0.371571072319202,0.980769230769231,0.28080229226361,0.288135593220339,0.630785761516421
"RF","mtry=250",4,0.324189526184539,0.961538461538462,0.229226361031519,0.269541778975741,0.59538241128499
"RF","mtry=250",5,0.366583541147132,0.903846153846154,0.286532951289398,0.270114942528736,0.595189552567776
"RF","mtry=250",6,0.324189526184539,1,0.223495702005731,0.277333333333333,0.611747851002865
"RF","mtry=250",7,0.376558603491272,0.980769230769231,0.286532951289398,0.289772727272727,0.633651091029314
"RF","mtry=250",8,0.291770573566085,1,0.186246418338109,0.268041237113402,0.593123209169054
"RF","mtry=250",9,0.309226932668329,0.980769230769231,0.209169054441261,0.269129287598945,0.594969142605246
"RF","mtry=250",10,0.319201995012469,0.980769230769231,0.220630372492837,0.272,0.600699801631034
