"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"GLM","lambda=0.1",1,0.438902743142145,0.884615384615385,0.372492836676218,0.290220820189274,0.628554110645801
"GLM","lambda=0.1",2,0.488778054862843,0.865384615384615,0.432664756446991,0.305084745762712,0.649024685915803
"GLM","lambda=0.1",3,0.476309226932668,0.884615384615385,0.415472779369628,0.304635761589404,0.650044081992506
"GLM","lambda=0.1",4,0.453865336658354,0.865384615384615,0.392550143266476,0.29126213592233,0.628967379325545
"GLM","lambda=0.1",5,0.43142144638404,0.923076923076923,0.358166189111748,0.296296296296296,0.640621556094336
"GLM","lambda=0.1",6,0.44139650872818,0.980769230769231,0.361031518624642,0.312883435582822,0.670900374696936
"GLM","lambda=0.1",7,0.4214463840399,0.923076923076923,0.346704871060172,0.292682926829268,0.634890897068548
"GLM","lambda=0.1",8,0.376558603491272,0.923076923076923,0.29512893982808,0.277456647398844,0.609102931452502
"GLM","lambda=0.1",9,0.401496259351621,0.923076923076923,0.32378223495702,0.285714285714286,0.623429579016972
"GLM","lambda=0.1",10,0.354114713216958,0.980769230769231,0.260744985673352,0.282548476454294,0.620757108221292
