"","RF_mtry_2","RF_mtry_126","RF_mtry_250","XGB_nrounds_250","XGB_nrounds_300","XGB_nrounds_350","GLM_lambda_0.1","GLM_lambda_0.5","GLM_lambda_1"
"Acuracia",0.272319201995012,0.322443890274314,0.33142144638404,0.316209476309227,0.312219451371571,0.310972568578554,0.428428927680798,0.424937655860349,0.430922693266833
"Recall",0.988461538461538,0.980769230769231,0.969230769230769,0.973076923076923,0.975,0.976923076923077,0.915384615384615,0.917307692307692,0.919230769230769
"Especificidade",0.165616045845272,0.224355300859599,0.236389684813754,0.218338108882522,0.213467048710602,0.211747851002865,0.355873925501433,0.351575931232092,0.358166189111748
"F1",0.260679251692425,0.273309268033341,0.273542194031622,0.269924160937417,0.269186402010112,0.269192663138649,0.293878553173953,0.292759786176282,0.295575557077441
"AUC",0.577038792153405,0.602562265814415,0.602810227022261,0.595707515979722,0.594233524355301,0.594335463962971,0.635629270443024,0.634441811769892,0.638698479171259
