"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"XGB","nrounds=300",1,0.877805486284289,0.211538461538462,0.977077363896848,0.309859154929577,0.594307912717655
"XGB","nrounds=300",2,0.85286783042394,0.230769230769231,0.945558739255014,0.289156626506024,0.588163985012123
"XGB","nrounds=300",3,0.85286783042394,0.134615384615385,0.959885386819484,0.191780821917808,0.547250385717434
"XGB","nrounds=300",4,0.897755610972569,0.269230769230769,0.991404011461318,0.405797101449275,0.630317390346044
"XGB","nrounds=300",5,0.850374064837905,0.134615384615385,0.95702005730659,0.189189189189189,0.545817720960987
"XGB","nrounds=300",6,0.872817955112219,0.269230769230769,0.962750716332378,0.354430379746835,0.615990742781574
"XGB","nrounds=300",7,0.872817955112219,0.230769230769231,0.968481375358166,0.32,0.599625303063699
"XGB","nrounds=300",8,0.892768079800499,0.307692307692308,0.979942693409742,0.426666666666667,0.643817500551025
"XGB","nrounds=300",9,0.882793017456359,0.211538461538462,0.982808022922636,0.318840579710145,0.597173242230549
"XGB","nrounds=300",10,0.905236907730673,0.346153846153846,0.988538681948424,0.486486486486487,0.667346264051135
