"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"RF","mtry=2",1,0.870324189526185,0,1,NA,0.5
"RF","mtry=2",2,0.870324189526185,0,1,NA,0.5
"RF","mtry=2",3,0.870324189526185,0,1,NA,0.5
"RF","mtry=2",4,0.870324189526185,0,1,NA,0.5
"RF","mtry=2",5,0.870324189526185,0,1,NA,0.5
"RF","mtry=2",6,0.870324189526185,0,1,NA,0.5
"RF","mtry=2",7,0.870324189526185,0,1,NA,0.5
"RF","mtry=2",8,0.870324189526185,0,1,NA,0.5
"RF","mtry=2",9,0.870324189526185,0,1,NA,0.5
"RF","mtry=2",10,0.870324189526185,0,1,NA,0.5
