"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"RF","mtry=126",1,0.880299251870324,0.346153846153846,0.959885386819484,0.428571428571429,0.653019616486665
"RF","mtry=126",2,0.877805486284289,0.153846153846154,0.98567335243553,0.246153846153846,0.569759753140842
"RF","mtry=126",3,0.86783042394015,0.0769230769230769,0.98567335243553,0.131147540983607,0.531298214679303
"RF","mtry=126",4,0.900249376558603,0.269230769230769,0.994269340974212,0.411764705882353,0.631750055102491
"RF","mtry=126",5,0.86783042394015,0.115384615384615,0.979942693409742,0.184615384615385,0.547663654397179
"RF","mtry=126",6,0.882793017456359,0.25,0.977077363896848,0.356164383561644,0.613538681948424
"RF","mtry=126",7,0.872817955112219,0.0961538461538462,0.988538681948424,0.163934426229508,0.542346264051135
"RF","mtry=126",8,0.882793017456359,0.230769230769231,0.979942693409742,0.338028169014084,0.605355962089486
"RF","mtry=126",9,0.895261845386534,0.192307692307692,1,0.32258064516129,0.596153846153846
"RF","mtry=126",10,0.880299251870324,0.173076923076923,0.98567335243553,0.272727272727273,0.579375137756227
