"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"XGB","nrounds=250",1,0.877805486284289,0.211538461538462,0.977077363896848,0.309859154929577,0.594307912717655
"XGB","nrounds=250",2,0.85286783042394,0.192307692307692,0.951289398280802,0.253164556962025,0.571798545294247
"XGB","nrounds=250",3,0.85286783042394,0.134615384615385,0.959885386819484,0.191780821917808,0.547250385717434
"XGB","nrounds=250",4,0.895261845386534,0.25,0.991404011461318,0.382352941176471,0.620702005730659
"XGB","nrounds=250",5,0.84788029925187,0.0769230769230769,0.962750716332378,0.115942028985507,0.519836896627727
"XGB","nrounds=250",6,0.872817955112219,0.25,0.965616045845272,0.337662337662338,0.607808022922636
"XGB","nrounds=250",7,0.875311720698254,0.211538461538462,0.974212034383954,0.305555555555556,0.592875247961208
"XGB","nrounds=250",8,0.895261845386534,0.307692307692308,0.982808022922636,0.432432432432432,0.645250165307472
"XGB","nrounds=250",9,0.887780548628429,0.211538461538462,0.988538681948424,0.328358208955224,0.600038571743443
"XGB","nrounds=250",10,0.902743142144638,0.326923076923077,0.988538681948424,0.465753424657534,0.65773087943575
