"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"GLM","lambda=1",1,0.872817955112219,0.0192307692307692,1,0.0377358490566038,0.509615384615385
"GLM","lambda=1",2,0.86783042394015,0,0.997134670487106,NA,0.498567335243553
"GLM","lambda=1",3,0.86783042394015,0,0.997134670487106,NA,0.498567335243553
"GLM","lambda=1",4,0.870324189526185,0,1,NA,0.5
"GLM","lambda=1",5,0.86783042394015,0,0.997134670487106,NA,0.498567335243553
"GLM","lambda=1",6,0.86783042394015,0,0.997134670487106,NA,0.498567335243553
"GLM","lambda=1",7,0.86783042394015,0,0.997134670487106,NA,0.498567335243553
"GLM","lambda=1",8,0.870324189526185,0,1,NA,0.5
"GLM","lambda=1",9,0.870324189526185,0,1,NA,0.5
"GLM","lambda=1",10,0.870324189526185,0,1,NA,0.5
