"","RF_mtry_2","RF_mtry_126","RF_mtry_250","XGB_nrounds_250","XGB_nrounds_300","XGB_nrounds_350","GLM_lambda_0.1","GLM_lambda_0.5","GLM_lambda_1"
"Acuracia",0.870324189526185,0.880798004987531,0.877805486284289,0.876059850374065,0.875810473815461,0.877057356608479,0.856109725685786,0.870822942643392,0.869326683291771
"Recall",0,0.190384615384615,0.209615384615385,0.217307692307692,0.234615384615385,0.230769230769231,0.151923076923077,0.0423076923076923,0.00192307692307692
"Especificidade",1,0.983667621776504,0.977363896848138,0.974212034383954,0.97134670487106,0.973352435530086,0.961031518624642,0.994269340974212,0.998567335243553
"F1",NA,0.285568780290042,0.30037577919015,0.312286146323447,0.329220700660201,0.326272449281192,0.213530713358197,0.0960350996311285,0.0377358490566038
"AUC",0.5,0.58702611858056,0.593489640731761,0.595759863345823,0.602981044743222,0.602060833149658,0.556477297773859,0.518288516640952,0.500245206083315
