"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"XGB","nrounds=300",1,0.860349127182045,0.403846153846154,0.92836676217765,0.428571428571429,0.666106458011902
"XGB","nrounds=300",2,0.837905236907731,0.365384615384615,0.908309455587393,0.368932038834951,0.636847035486004
"XGB","nrounds=300",3,0.825436408977556,0.365384615384615,0.893982808022923,0.351851851851852,0.629683711703769
"XGB","nrounds=300",4,0.890274314214464,0.423076923076923,0.959885386819484,0.5,0.691481154948204
"XGB","nrounds=300",5,0.842892768079801,0.346153846153846,0.916905444126075,0.363636363636364,0.63152964513996
"XGB","nrounds=300",6,0.830423940149626,0.365384615384615,0.899713467048711,0.358490566037736,0.632549041216663
"XGB","nrounds=300",7,0.84788029925187,0.288461538461538,0.931232091690544,0.32967032967033,0.609846815076041
"XGB","nrounds=300",8,0.845386533665835,0.346153846153846,0.919770773638969,0.36734693877551,0.632962309896407
"XGB","nrounds=300",9,0.86783042394015,0.442307692307692,0.931232091690544,0.464646464646465,0.686769891999118
"XGB","nrounds=300",10,0.875311720698254,0.461538461538462,0.936962750716332,0.489795918367347,0.699250606127397
