"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"GLM","lambda=1",1,0.815461346633416,0.346153846153846,0.885386819484241,0.327272727272727,0.615770332819043
"GLM","lambda=1",2,0.835411471321696,0.326923076923077,0.911174785100286,0.34,0.619048931011682
"GLM","lambda=1",3,0.837905236907731,0.307692307692308,0.916905444126075,0.329896907216495,0.612298875909191
"GLM","lambda=1",4,0.85785536159601,0.269230769230769,0.945558739255014,0.329411764705882,0.607394754242892
"GLM","lambda=1",5,0.837905236907731,0.480769230769231,0.891117478510029,0.434782608695652,0.68594335463963
"GLM","lambda=1",6,0.84788029925187,0.384615384615385,0.916905444126075,0.396039603960396,0.65076041437073
"GLM","lambda=1",7,0.85286783042394,0.403846153846154,0.919770773638969,0.415841584158416,0.661808463742561
"GLM","lambda=1",8,0.85286783042394,0.307692307692308,0.934097421203438,0.351648351648352,0.620894864447873
"GLM","lambda=1",9,0.872817955112219,0.403846153846154,0.94269340974212,0.451612903225806,0.673269781794137
"GLM","lambda=1",10,0.855361596009975,0.442307692307692,0.916905444126075,0.442307692307692,0.679606568216883
