"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"GLM","lambda=0.1",1,0.812967581047382,0.423076923076923,0.871060171919771,0.369747899159664,0.647068547498347
"GLM","lambda=0.1",2,0.785536159600998,0.384615384615385,0.845272206303725,0.317460317460317,0.614943795459555
"GLM","lambda=0.1",3,0.783042394014963,0.384615384615385,0.842406876790831,0.31496062992126,0.613511130703108
"GLM","lambda=0.1",4,0.817955112219451,0.403846153846154,0.879656160458453,0.365217391304348,0.641751157152303
"GLM","lambda=0.1",5,0.807980049875312,0.519230769230769,0.851002865329513,0.412213740458015,0.685116817280141
"GLM","lambda=0.1",6,0.820448877805486,0.576923076923077,0.856733524355301,0.454545454545455,0.716828300639189
"GLM","lambda=0.1",7,0.827930174563591,0.5,0.876790830945559,0.429752066115702,0.688395415472779
"GLM","lambda=0.1",8,0.805486284289277,0.5,0.851002865329513,0.4,0.675501432664756
"GLM","lambda=0.1",9,0.815461346633416,0.557692307692308,0.853868194842407,0.439393939393939,0.705780251267357
"GLM","lambda=0.1",10,0.827930174563591,0.5,0.876790830945559,0.429752066115702,0.688395415472779
