"","RF_mtry_2","RF_mtry_126","RF_mtry_250","XGB_nrounds_250","XGB_nrounds_300","XGB_nrounds_350","GLM_lambda_0.1","GLM_lambda_0.5","GLM_lambda_1"
"Acuracia",0.870074812967581,0.85785536159601,0.845635910224439,0.851620947630923,0.852369077306733,0.851620947630923,0.810473815461347,0.830423940149626,0.846633416458853
"Recall",0.180769230769231,0.369230769230769,0.386538461538462,0.384615384615385,0.380769230769231,0.376923076923077,0.475,0.413461538461538,0.367307692307692
"Especificidade",0.972779369627507,0.930659025787966,0.91404011461318,0.921203438395416,0.922636103151863,0.922349570200573,0.860458452722063,0.892550143266476,0.918051575931232
"F1",0.2644900484568,0.401913923911192,0.394389469433385,0.403898750428519,0.402294190039198,0.398453745536464,0.39330435044744,0.3869565837567,0.381881414319142
"AUC",0.576774300198369,0.649944897509367,0.650289288075821,0.6529094115054,0.651702666960547,0.649636323561825,0.667729226361031,0.653005840864007,0.642679634119462
